ideee,uri,origin,lc,alc,wp,gt
4532483625,http://farm5.staticflickr.com/4026/4532483625_a34beda95d.jpg,false,false,false,,
424190281,http://farm1.staticflickr.com/178/424190281_2c7b760c02.jpg,true,true,true,,
1057156867,http://farm2.staticflickr.com/1208/1057156867_7fff95a8ac.jpg,true,true,true,,
2397002456,http://farm3.staticflickr.com/2084/2397002456_6784c24a35.jpg,true,,,,
3987874234,http://farm4.staticflickr.com/3466/3987874234_b0769f991a.jpg,true,true,true,,
2857994833,http://farm4.staticflickr.com/3093/2857994833_7e660a2b66.jpg,true,true,true,,
5193717145,http://farm6.staticflickr.com/5282/5193717145_730efaef10.jpg,true,false,false,,
5995839849,http://farm7.staticflickr.com/6125/5995839849_6bdc8fc446.jpg,false,false,false,,
2538517317,http://farm4.staticflickr.com/3277/2538517317_cb495ce643.jpg,true,true,true,,
5062258097,http://farm5.staticflickr.com/4087/5062258097_520e922128.jpg,true,false,false,,
2842847609,http://farm4.staticflickr.com/3134/2842847609_e1d089d307.jpg,true,false,false,,
3349568429,http://farm4.staticflickr.com/3637/3349568429_2c86a8f5e9.jpg,true,true,true,,
5933348269,http://farm7.staticflickr.com/6121/5933348269_64b8429fd2.jpg,false,false,false,,
4510701782,http://farm3.staticflickr.com/2293/4510701782_3a5d650536.jpg,true,false,false,,
3324066349,http://farm4.staticflickr.com/3629/3324066349_61f3b7f12f.jpg,false,false,false,,
4629850107,http://farm5.staticflickr.com/4015/4629850107_c8fa3f179e.jpg,true,false,false,,
2164564245,http://farm3.staticflickr.com/2087/2164564245_298c7a7481.jpg,false,false,false,,
5452433646,http://farm6.staticflickr.com/5218/5452433646_5aec161ca5.jpg,true,false,false,,
6296562526,http://farm7.staticflickr.com/6048/6296562526_9f00f354e3.jpg,false,false,false,,
1469800334,http://farm2.staticflickr.com/1085/1469800334_5b70114770.jpg,true,false,false,,
5281824454,http://farm6.staticflickr.com/5161/5281824454_f24c371226.jpg,false,false,false,,
3586017704,http://farm4.staticflickr.com/3316/3586017704_2233ecec02.jpg,false,false,false,,
206741573,http://farm1.staticflickr.com/77/206741573_6b3477d1b1.jpg,true,false,false,,
5827950406,http://farm3.staticflickr.com/2701/5827950406_be4e954cf9.jpg,true,false,false,,
2396021452,http://farm4.staticflickr.com/3046/2396021452_f10ef37b17.jpg,true,false,false,,
4634957918,http://farm5.staticflickr.com/4047/4634957918_901d9dc818.jpg,true,false,false,,
3326321247,http://farm4.staticflickr.com/3397/3326321247_936dfae1b6.jpg,true,true,true,,
5464990113,http://farm6.staticflickr.com/5252/5464990113_9a8de49ee9.jpg,true,false,false,,
6440773575,http://farm8.staticflickr.com/7161/6440773575_c0c364dab1.jpg,true,false,false,,
3046834616,http://farm4.staticflickr.com/3244/3046834616_f8c02e086e.jpg,true,false,false,,
5927286127,http://farm7.staticflickr.com/6025/5927286127_79d8a8459f.jpg,false,false,false,,
5033151448,http://farm5.staticflickr.com/4112/5033151448_9787b775a7.jpg,true,true,true,,
3445210494,http://farm4.staticflickr.com/3622/3445210494_0cd64aca2a.jpg,false,false,false,,
6122131649,http://farm7.staticflickr.com/6194/6122131649_c174ec0764.jpg,true,false,false,,
5619174085,http://farm6.staticflickr.com/5226/5619174085_8ee9a1cec4.jpg,false,false,false,,
6128179567,http://farm7.staticflickr.com/6071/6128179567_4776732ea0.jpg,false,false,false,,
3674739493,http://farm3.staticflickr.com/2468/3674739493_90ba5b1a87.jpg,true,false,false,,
6945445335,http://farm8.staticflickr.com/7205/6945445335_73d85ca101.jpg,true,true,true,,
3393322606,http://farm4.staticflickr.com/3641/3393322606_c0e1619d7e.jpg,true,,,,
3052315073,http://farm4.staticflickr.com/3224/3052315073_17a9bd1fcb.jpg,true,false,false,,
4897570778,http://farm5.staticflickr.com/4094/4897570778_540cbe5991.jpg,true,false,false,,
6099241915,http://farm7.staticflickr.com/6206/6099241915_ba91a88c5d.jpg,false,false,false,,
4276379344,http://farm5.staticflickr.com/4020/4276379344_60a28e51ab.jpg,true,false,false,,
6862498109,http://farm8.staticflickr.com/7065/6862498109_59715a08d6.jpg,true,false,false,,
